customer_id,product_id,rating
2119875,12416734,5
22628730,12416734,4
21351313,12416734,5
14148210,12416734,5
522878,12416734,4
11299426,12416734,5
12436215,12416734,5
11736484,12416734,5
2119699,12416734,5
6923159,12416734,4
6275320,12416734,5
366809,12416734,5
16780673,12416734,5
120954,12416734,5
7328915,12416734,3
928843,12416734,2
108462,10752430,5
14088052,10752430,5
22555105,10752430,5
21654527,10752430,5
22049169,10752430,5
497403,10752430,5
601125,10752430,1
1992083,10752430,1
6202749,10752430,5
18083437,10752430,5
6468863,10752430,5
920603,10752430,5
14663165,10752430,5
497403,10752430,5
921642,10752430,5
5965582,10752430,4
2076994,10752430,5
1384842,10752430,5
10529265,10752430,5
12384468,273691904,5
8510522,162530673,5
28542372,162530673,5
14761553,162530673,5
1736908,162530673,5
1107840,162530673,5
5950595,162530673,3
8355583,162530673,5
25926031,162530673,5
26669764,162530673,5
7873148,162530673,5
1829099,162530673,5
28235322,162530673,5
11456902,162530673,5
21990722,162530673,4
29376378,162530673,3
21896799,162530673,5
30127896,162530673,5
26780764,162530673,5
7060017,162530673,5
30161878,162530673,3
27826886,162530673,5
29241822,162530673,5
1481082,162530673,5
10720391,162530673,5
6519097,162530673,5
18891007,162530673,5
11874610,162530673,5
25953866,162530673,5
17506796,162530673,5
29001205,162530673,5
12631825,162530673,1
28746410,162530673,4
10970692,162530673,4
26687346,162530673,5
5811021,162530673,3
14739918,162530673,5
21437970,162530673,4
6959111,162530673,5
30180028,162530673,3
6233103,162530673,5
29426153,162530673,5
15188098,162530673,5
14249951,162530673,5
30313982,162530673,5
12024636,162530673,5
22029963,162530673,5
9927825,162530673,5
473488,162530673,5
16292694,162530673,5
30295486,162530673,5
25033696,162530673,5
9730722,162530673,5
5161812,162530673,5
1739626,162530673,5
14489857,162530673,5
29828116,162530673,5
22856599,162530673,5
25705774,162530673,5
11195564,162530673,5
5800651,162530673,5
13846600,162530673,5
1982040,162530673,5
27831514,162530673,5
22485773,162530673,5
26026701,162530673,5
28036777,162530673,5
11169668,162530673,5
24224768,162530673,5
24296995,162530673,5
1012819,162530673,5
28084608,162530673,5
2164716,162530673,5
16714917,162530673,4
22533219,162530673,5
7117824,162530673,5
6480874,162530673,5
5320138,162530673,5
6275845,162530673,5
1890858,162530673,5
7744112,162530673,5
23014614,162530673,4
7710615,162530673,5
1890765,162530673,5
24688882,162530673,5
12651016,162530673,5
16005582,162530673,5
13921160,162530673,5
26039979,162530673,5
23694124,162530673,5
433615,162530673,5
7031095,162530673,4
23783813,162530673,5
6032281,162530673,5
18938897,162530673,5
1540664,162530673,4
12745832,162530673,5
17301832,162530673,5
22768340,162530673,5
18340420,162530673,5
8149702,162530673,5
20301537,162530673,5
12563176,162530673,1
6512715,162530673,5
5282900,162530673,5
21640260,162530673,5
1157919,162530673,5
11359,162530673,5
7977410,162530673,5
9899731,162530673,4
1126424,162530673,5
7152464,162530673,5
26680379,162530673,5
12192662,162530673,5
628851,162530673,5
22481033,162530673,5
22233186,162530673,5
6069998,162530673,5
9863319,162530673,3
28394497,162530673,5
26812633,162530673,5
8445213,162530673,4
19170730,162530673,5
21996237,162530673,4
25747332,162530673,5
2148212,162530673,5
2036821,162530673,5
12817438,162530673,4
23140062,162530673,5
