customer_id,product_id,rating,content
2119875,12416734,5,
22628730,12416734,4,Đóng gói ok . Chất lượng OK. Nội dung ko hay lắm
21351313,12416734,5,cực hài lòng. giao sớm hơn dự kiến. sách chất lượng tốt
14148210,12416734,5,
522878,12416734,4,
11299426,12416734,5,"Sách hay,bìa đẹp,giao hàng nhanh gói cẩn thận nói chung là ukie ?❤️"
12436215,12416734,5,
11736484,12416734,5,
2119699,12416734,5,Cách viết của tác giả theo mình thấy có hơi rườm rà. Nhưng cuốn sách vẫn đảm bảo mang đến cho bạn những gì nó đã hứa
6923159,12416734,4,
6275320,12416734,5,
366809,12416734,5,"- Noi Dung: ngan ngon, suc tich, de hieu. - Tiki: giao hang nhanh"
16780673,12416734,5,
120954,12416734,5,.
7328915,12416734,3,Giao hàng nhanh đóng gói kĩ
928843,12416734,2,
108462,10752430,5,"Lúc mới nhận sách về cảm quan thấy  không ổn, ví dụ như chữ trên bìa sách hơi lệch, các trang dính vào nhau và hơi mờ nên đã thử check mã vạch trên tem dán ở bìa sau. Kết quả ra 1 cuốn sách khác. Trước đây tiki có giao những cuốn sách cũ, sách in chất lượng kém giống như in lậu nhưng mình không review, lần này thấy lạ nên đề nghị các bạn giải thích.. Về nội dung thì đây là cuốn sách hay, nếu cho 1 sao thì mọi người sẽ nghĩ rằng sách dở nên mình vẫn đánh giá 5 sao nhưng tiki cần xem lại đối tác, nguồn gốc sản phẩm."
14088052,10752430,5,
22555105,10752430,5,
21654527,10752430,5,
22049169,10752430,5,"Cuốn sách viết đơn giản, dễ hiểu, dễ áp dụng"
497403,10752430,5,"Sách này mình mua tặng bạn đến mấy lần rồi. Sách rất rất hay. . Mình làm trong lĩnh vực xã hội, tư vấn nên càng quan tâm đến thay đổi, giúp đỡ các tổ chức, địa phương ra sao. Cuốn sách giúp mình hệ thống hơn khi tư duy giải pháp cho tổ chức lẫn cộng đồng.. Tác giả viết rất dễ hiểu, qua câu chuyện dẫn chứng, phân tích, giải thích. Khuyên đọc!"
601125,10752430,1,"Đây không phải là lần đầu tiên mình thanh toán Momo nhưng mình rất thất vọng về thái độ của shipper Tiki đối với hàng đã thanh toán. Đầu tiên, shipper gọi mình hỏi có ở nhà k, mình đã bảo mình đang ở nhà và sẽ xuống lầu rồi. Ai dè anh shipper thản nhiên hỏi ""Vậy mình quăng hàng qua hàng rào cho bạn nha?"" Cái gì vậy? Hàng mình dù k phải là hàng dễ bể nhưng cũng k phải là rác mà muốn quăng thì quăng. Mình đã bảo thì có ở nhà và sẽ nhận hàng mà đòi quăng hàng mình là sao. Ảnh cũng ừ ừ cho đã. Sau đó mình xuống nhà thì bất ngờ ảnh đã tự tiện giao hàng của mình cho bà chủ trọ rồi trong khi chưa có sự đồng ý của mình. Nếu ảnh đã muốn làm theo ý của ảnh thì còn gọi cho khách để xác nhận có ở nhà không làm gì.  Minh mong Tiki hướng dẫn lại shipper của mình là hàng đã thanh toán trước nhưng k phải là rác, k phải muốn quăng thì quăng và k phải muốn giao hàng của khách cho ai thì giao. Lỡ có vấn đề gì với hàng hoăc mất hàng thì ai chịu trách nhiệm ?"
